Contig,HK_CF2,HK_CF35,HK_CF70,V_CF26,V_CF34,V_CF71
Phel_clc_contig_6655,9.207775501,9.261381545,8.718303739,3.960242941,4.476135384,5.267408452
Phel_clc_contig_17308,5.967777289,5.906253265,5.616360638,3.960242941,3.448848104,3.442651611
Phel_clc_contig_5839,9.901234678,9.81282565,9.534414364,6.765297372,6.60527949,6.695952068
Phel_clc_contig_9499,9.558028415,9.345039925,9.158641243,5.57314727,4.381221067,2.791543215
Phel_clc_contig_14944,5.333080194,5.286108597,5.046028248,3.661304959,1.938925593,3.683393288
Phel_clc_contig_8821,9.0437382,8.873901765,8.831892755,7.888471729,7.488260323,7.941606377
Phel_clc_contig_10626,8.804691207,8.632084595,8.72251828,7.279754495,7.87540165,7.833358814
Phel_clc_contig_1539,8.655626959,8.152026199,8.387709334,5.739699614,6.801317768,7.34796412
Phel_clc_contig_21725,6.16508386,5.71273058,6.024027068,3.283788458,4.170325694,4.840150994
Phel_clc_contig_7401,8.701758349,8.192810119,8.538750765,6.644476415,7.280417243,7.416265521
Phel_clc_contig_14430,7.903781848,7.546544159,7.537849708,5.482054453,6.35356325,5.596619146
Phel_clc_contig_15097,8.112847626,7.695448247,7.75090324,5.739699614,6.837520713,6.248557606
Phel_clc_contig_13974,9.818861263,9.213397104,9.098296904,6.087456476,6.626126616,6.004182256
Phel_clc_contig_2093,10.01156832,9.617647079,9.74794002,9.012920868,8.859179427,8.903408902
Phel_clc_contig_3697,12.10623943,11.50961108,11.68376855,9.555665675,9.226432424,9.553306739
Phel_clc_contig_17140,6.125016642,5.681325568,5.721175766,4.418945512,4.05205935,4.230433605
Phel_clc_contig_8381,10.97328042,10.43291662,10.42512409,8.275105317,8.137411815,7.894495849
Phel_clc_contig_4325,9.113655966,8.498316298,8.595001187,6.765297372,6.450254494,5.536512997
Phel_clc_contig_10349,9.350714475,8.575792594,9.068807024,6.087456476,6.562660669,6.004182256
Phel_clc_contig_2408,9.513459163,8.870425139,9.048806711,6.685884099,7.068302137,6.827181355
